State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,03/09/2025,3000,3500,3500
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Local,FAQ,03/09/2025,2000,2500,2300
"Andhra Pradesh",Chittor,Palamaner,Potato,"(Red Nanital)",FAQ,03/09/2025,1000,2200,1500
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,03/09/2025,1940,2470,2200
"Andhra Pradesh","East Godavari",Ambajipeta,Banana,"Banana - Ripe",Medium,03/09/2025,880,1920,1400
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(Red),Large,03/09/2025,2500,3200,2700
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Finger,FAQ,03/09/2025,9600,10851,10485
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies","1st Sort",FAQ,03/09/2025,9000,15100,12500
"Andhra Pradesh",Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,03/09/2025,2300,2500,2400
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,FAQ,03/09/2025,2500,2900,2700
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,03/09/2025,2400,2600,2500
"Andhra Pradesh",Kurnool,Adoni,"Castor Seed","Castor seed",FAQ,03/09/2025,5452,6239,6068
"Andhra Pradesh",Nellore,Atmakur(SPS),Paddy(Dhan)(Common),MTU-1010,FAQ,03/09/2025,2300,2400,2320
"Andhra Pradesh","West Godavari",Eluru,Lemon,Lemon,FAQ,03/09/2025,2200,3800,3000
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,03/09/2025,1200,1400,1300
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),"I.R. 64",FAQ,03/09/2025,1847.5,1877.5,1857.5
Chattisgarh,Dhamtari,Nagari,Paddy(Dhan)(Common),"I.R. 36",Non-FAQ,03/09/2025,1950,1995,1980
Chattisgarh,Kanker,Korar,Maize,"Hybrid Yellow (Cattle Feed)",Non-FAQ,03/09/2025,2000,2000,2000
Chattisgarh,Kanker,Sambalpur,Maize,"Hybrid Yellow (Cattle Feed)",Non-FAQ,03/09/2025,2000,2000,2000
Chattisgarh,Korba,Katghora,Mahua,Mahua,FAQ,03/09/2025,4500,4500,4500
Chattisgarh,Mahasamund,Bagbahra,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,03/09/2025,1960,1960,1960
Chattisgarh,Mahasamund,Tendukona,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,03/09/2025,1960,1960,1960
Chattisgarh,Mungeli,Munguli,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,03/09/2025,4660,5320,5000
