N,P,K,ph,label
50,50,50,6.4,banana
50,56,42,5.922520630111956,banana
46,51,47,6.790557485235696,banana
50,50,50,6.4,cashewnut
49,59,47,6.021639680848964,cashewnut
48,47,54,6.764522984876698,cashewnut
50,50,50,6.4,ginger
43,41,48,6.883255605710956,ginger
47,43,47,6.594952172548385,ginger
50,50,50,6.4,sugarcane
59,41,40,6.181273269276429,sugarcane
47,41,57,6.355213380216546,sugarcane
50,50,50,6.4,sweet_potato
50,49,41,6.788714203411442,sweet_potato
49,54,42,5.971442050288962,sweet_potato
50,50,50,6.4,tapioca
57,41,41,6.874392761248615,tapioca
45,53,47,6.69701111286833,tapioca
50,50,50,6.4,arecanut
42,58,48,6.401444105525289,arecanut
40,51,55,6.847485785039728,arecanut
50,50,50,6.4,black_pepper
45,43,58,6.226094045978851,black_pepper
47,55,46,5.994938323437867,black_pepper
50,50,50,6.4,dry_chillies
46,44,53,6.226817891239682,dry_chillies
42,57,54,6.04788953056525,dry_chillies
50,50,50,6.4,other_oilseeds
57,57,59,6.1773178989267095,other_oilseeds
46,60,52,6.525265076414704,other_oilseeds
50,50,50,6.4,turmeric
55,41,49,6.352620073927177,turmeric
47,44,47,6.173822740227182,turmeric
50,75,75,5.1,banana
50,74,84,5.251915841946216,banana
46,72,81,5.249184499401194,banana
50,75,75,5.1,cashewnut
49,78,71,4.6910154220718505,cashewnut
54,67,74,4.878240212890913,cashewnut
50,75,75,5.1,ginger
59,65,82,5.22917649620407,ginger
46,73,85,4.902594080247738,ginger
50,75,75,5.1,sugarcane
50,84,68,4.914291699915919,sugarcane
46,68,66,4.9218213269647535,sugarcane
50,75,75,5.1,sweet_potato
49,79,67,4.893249661637367,sweet_potato
53,83,71,5.3616980782336885,sweet_potato
50,75,75,5.1,tapioca
44,85,72,5.580447691019889,tapioca
58,67,72,5.524719510699471,tapioca
50,75,75,5.1,other_oilseeds
57,81,72,4.731963725703695,other_oilseeds
59,80,71,4.879592781349645,other_oilseeds
50,75,75,5.1,arecanut
52,69,81,5.5240886948265375,arecanut
40,70,80,5.282940074140971,arecanut
50,75,75,5.1,black_pepper
41,79,79,4.941856806807729,black_pepper
40,80,73,4.729999526458933,black_pepper
50,75,75,5.1,dry_chillies
49,83,66,4.796097984099176,dry_chillies
56,80,76,5.274730988312142,dry_chillies
50,75,75,5.1,turmeric
42,66,69,4.834664022295109,turmeric
43,81,77,5.537412944590808,turmeric
50,75,75,5.1,oilseeds_total
45,84,68,5.0105902970119125,oilseeds_total
47,65,65,4.933763634822111,oilseeds_total
75,50,75,7.7,arecanut
80,50,76,7.992266332734749,arecanut
76,58,66,7.909596816603993,arecanut
75,50,75,7.7,banana
72,59,81,7.919656794860404,banana
77,51,84,7.525227774266948,banana
75,50,75,7.7,black_pepper
72,47,82,8.14605067215381,black_pepper
69,55,84,8.159875871580725,black_pepper
75,50,75,7.7,cashewnut
81,49,72,7.279150594995083,cashewnut
67,43,65,7.512205343002993,cashewnut
75,50,75,7.7,dry_chillies
78,47,65,7.885551307294241,dry_chillies
69,49,72,7.915992333817197,dry_chillies
75,50,75,7.7,ginger
82,58,71,8.133217371384003,ginger
68,42,83,7.843217828049895,ginger
75,50,75,7.7,sugarcane
76,53,76,8.102595801412777,sugarcane
81,44,80,7.919043784746628,sugarcane
75,50,75,7.7,other_oilseeds
83,49,67,7.212823763846183,other_oilseeds
66,58,75,7.618982197728992,other_oilseeds
75,50,75,7.7,sweet_potato
85,46,65,7.942093175943406,sweet_potato
79,51,81,7.465982487841778,sweet_potato
75,50,75,7.7,tapioca
77,49,84,8.0738088951414,tapioca
77,57,74,7.7663122721682925,tapioca
75,50,75,7.7,turmeric
85,53,83,7.401610669145391,turmeric
69,52,75,8.16721372112532,turmeric
75,50,75,7.7,oilseeds_total
81,44,67,7.3591041843669105,oilseeds_total
80,45,72,7.5597196583125115,oilseeds_total
50,25,25,7.7,black_pepper
51,30,32,7.591205140626637,black_pepper
47,29,34,7.7933513689566976,black_pepper
50,25,50,5.7,sugarcane
46,16,46,5.645708151509919,sugarcane
53,21,44,5.499677506095646,sugarcane
50,25,50,5.7,dry_chillies
45,23,56,5.56192861522788,dry_chillies
56,23,60,5.793194862726104,dry_chillies
50,25,50,5.7,onion
45,30,48,5.248553155863737,onion
54,19,43,5.707901645241236,onion
50,25,50,5.7,tobacco
52,16,51,5.533573277131508,tobacco
42,29,60,5.332632533906096,tobacco
50,25,50,5.7,banana
59,34,48,5.637563264890931,banana
59,21,60,5.986105261643138,banana
50,25,50,5.7,cashewnut
45,17,55,6.02028834494984,cashewnut
42,18,53,5.781699231761851,cashewnut
50,25,50,5.7,coriander
52,17,52,5.771653912154417,coriander
59,32,46,5.660556123498016,coriander
50,25,50,5.7,potato
52,15,53,5.961811897316773,potato
53,22,56,5.600093308292532,potato
50,25,50,5.7,sweet_potato
43,21,41,5.361720793426892,sweet_potato
45,24,44,5.964115179326838,sweet_potato
50,25,50,5.7,tapioca
60,26,41,5.756202769532501,tapioca
43,28,44,5.953238526744649,tapioca
50,25,50,5.7,turmeric
40,29,41,5.3476337541462025,turmeric
48,19,50,6.152600098393977,turmeric
50,25,50,5.7,bhindi
48,29,45,5.465423251217985,bhindi
47,35,42,5.9704035385644705,bhindi
50,25,50,5.7,brinjal
51,27,47,5.827269083884018,brinjal
44,34,50,6.1552019043489725,brinjal
50,25,50,5.7,cabbage
47,22,42,5.483188596683633,cabbage
56,32,57,5.662564830921127,cabbage
50,25,50,5.7,citrus_fruit
45,22,42,5.892129841414676,citrus_fruit
47,32,42,5.671177738457251,citrus_fruit
50,25,50,5.7,cucumber
60,16,40,5.724078123973483,cucumber
59,30,42,5.225333923506511,cucumber
50,25,50,5.7,grapes
51,27,54,5.675559657330619,grapes
56,35,41,5.608476467482785,grapes
50,25,50,5.7,mango
40,19,55,5.9721222964004,mango
41,22,47,5.402097095630836,mango
50,25,50,5.7,orange
54,19,57,6.070892973717358,orange
46,29,42,5.241996931696223,orange
50,25,50,5.7,other_fresh_fruits
47,33,50,6.039617555217128,other_fresh_fruits
52,31,44,5.910797476265015,other_fresh_fruits
50,25,50,5.7,other_vegetables
59,23,50,5.588049697718281,other_vegetables
56,15,45,5.844643572561853,other_vegetables
50,25,50,5.7,papaya
41,28,57,5.308228572228701,papaya
52,18,43,5.462656792971653,papaya
50,25,50,5.7,peas_vegetable
50,27,57,5.963633286998569,peas_vegetable
44,24,54,5.6317985974352665,peas_vegetable
50,25,50,5.7,pome_fruit
41,30,41,6.050692619056504,pome_fruit
45,31,49,5.231712025808092,pome_fruit
50,25,50,5.7,tomato
52,19,42,5.893677767261828,tomato
42,22,54,6.064893230592797,tomato
50,25,50,5.7,sunflower
59,30,44,5.943935981264707,sunflower
52,17,41,5.9246941879557,sunflower
25,75,50,6.7,sugarcane
20,75,56,6.802394675938274,sugarcane
26,81,58,7.160727333479907,sugarcane
25,75,50,6.7,tobacco
19,65,55,7.1060516893465895,tobacco
29,79,55,6.97114768021876,tobacco
25,75,50,6.7,dry_chillies
26,85,55,6.442645870645323,dry_chillies
35,82,59,6.835680726917631,dry_chillies
25,75,50,6.7,onion
25,74,47,6.79826269464811,onion
21,73,50,6.833101229513047,onion
25,75,50,6.7,arecanut
20,74,55,6.8466511508231065,arecanut
28,79,54,6.5874631012553415,arecanut
25,75,50,6.7,banana
20,66,46,6.557061537149115,banana
31,74,53,6.540192072710342,banana
25,75,50,6.7,cashewnut
21,77,46,6.696241614191181,cashewnut
33,81,47,6.325470445801238,cashewnut
25,75,50,6.7,coriander
18,81,48,6.616843464960036,coriander
19,81,43,6.312241889978759,coriander
25,75,50,6.7,sweet_potato
18,78,50,6.408749154542478,sweet_potato
27,78,53,6.557080422843972,sweet_potato
25,75,50,6.7,tapioca
34,81,46,6.619533791412225,tapioca
25,77,45,6.283880475554373,tapioca
