State,District,Year,Crop,Area_Hectare,Production_Tonnes,Yield_Tonnes_per_Hectare
Andaman and Nicobar Islands,Nicobars,2000.0,Banana,176.0,641.0,3.64
Andaman and Nicobar Islands,Nicobars,2000.0,Cashewnut,720.0,165.0,0.23
Andaman and Nicobar Islands,Nicobars,2000.0,Ginger,36.0,100.0,2.78
Andaman and Nicobar Islands,Nicobars,2000.0,Sugarcane,1.0,2.0,2.0
Andaman and Nicobar Islands,Nicobars,2000.0,Sweet_potato,5.0,15.0,3.0
Andaman and Nicobar Islands,Nicobars,2000.0,Tapioca,40.0,169.0,4.23
Andaman and Nicobar Islands,Nicobars,2001.0,Cashewnut,719.0,192.0,0.27
Andaman and Nicobar Islands,Nicobars,2001.0,Ginger,46.0,100.0,2.17
Andaman and Nicobar Islands,Nicobars,2001.0,Sugarcane,1.0,1.0,1.0
Andaman and Nicobar Islands,Nicobars,2001.0,Sweet_potato,11.0,33.0,3.0
Andaman and Nicobar Islands,Nicobars,2002.0,Arecanut,1258.0,2083.0,1.66
Andaman and Nicobar Islands,Nicobars,2002.0,Banana,213.0,1278.0,6.0
Andaman and Nicobar Islands,Nicobars,2002.0,Black_pepper,63.0,13.5,0.21
Andaman and Nicobar Islands,Nicobars,2002.0,Cashewnut,719.0,208.0,0.29
Andaman and Nicobar Islands,Nicobars,2002.0,Dry_chillies,413.0,28.8,0.07
Andaman and Nicobar Islands,Nicobars,2002.0,Ginger,47.3,133.0,2.81
Andaman and Nicobar Islands,Nicobars,2002.0,Sugarcane,5.0,40.0,8.0
Andaman and Nicobar Islands,Nicobars,2003.0,Arecanut,1261.0,1525.0,1.21
Andaman and Nicobar Islands,Nicobars,2003.0,Banana,266.0,1763.0,6.63
Andaman and Nicobar Islands,Nicobars,2003.0,Black_pepper,75.5,15.86,0.21
Andaman and Nicobar Islands,Nicobars,2003.0,Cashewnut,717.0,208.5,0.29
Andaman and Nicobar Islands,Nicobars,2003.0,Dry_chillies,60.0,102.0,1.7
Andaman and Nicobar Islands,Nicobars,2003.0,Ginger,102.0,326.4,3.2
Andaman and Nicobar Islands,Nicobars,2003.0,other_oilseeds,4.2,0.3,0.07
Andaman and Nicobar Islands,Nicobars,2004.0,Arecanut,1264.7,805.85,0.64
Andaman and Nicobar Islands,Nicobars,2004.0,Banana,66.42,404.12,6.08
Andaman and Nicobar Islands,Nicobars,2004.0,Black_pepper,85.0,15.86,0.19
Andaman and Nicobar Islands,Nicobars,2004.0,Cashewnut,683.5,197.9,0.29
Andaman and Nicobar Islands,Nicobars,2004.0,Dry_chillies,60.0,145.2,2.42
Andaman and Nicobar Islands,Nicobars,2004.0,Ginger,118.0,366.0,3.1
Andaman and Nicobar Islands,Nicobars,2004.0,other_oilseeds,1.0,0.11,0.11
Andaman and Nicobar Islands,Nicobars,2005.0,Arecanut,795.67,,0.0
Andaman and Nicobar Islands,Nicobars,2005.0,Banana,22.0,582.0,26.45
