crop,state,sowing_month,harvesting_month,season,duration_days,optimal_temperature_c,water_requirement_mm,yield_potential_kg_per_hectare
rice,Andhra Pradesh,6,10,kharif,120,23,338,5342
rice,Andhra Pradesh,7,11,kharif,120,25,671,3823
rice,Assam,6,10,kharif,120,16,474,2973
rice,Assam,7,11,kharif,120,34,321,5530
rice,Bihar,6,10,kharif,120,17,636,5453
rice,Bihar,7,11,kharif,120,26,739,5675
rice,Chhattisgarh,6,10,kharif,120,29,763,2868
rice,Chhattisgarh,7,11,kharif,120,34,561,3682
rice,Gujarat,6,10,kharif,120,19,686,3530
rice,Gujarat,7,11,kharif,120,15,357,5963
rice,Haryana,6,10,kharif,120,20,314,5233
rice,Haryana,7,11,kharif,120,17,619,5056
rice,Karnataka,6,10,kharif,120,26,573,3294
rice,Karnataka,7,11,kharif,120,26,507,5610
rice,Kerala,6,10,kharif,120,22,359,4477
rice,Kerala,7,11,kharif,120,31,392,5380
rice,Madhya Pradesh,6,10,kharif,120,22,378,3050
rice,Madhya Pradesh,7,11,kharif,120,28,349,4035
rice,Maharashtra,6,10,kharif,120,21,686,2348
rice,Maharashtra,7,11,kharif,120,26,480,3559
rice,Odisha,6,10,kharif,120,17,703,5629
rice,Odisha,7,11,kharif,120,29,452,4781
rice,Punjab,6,10,kharif,120,28,754,5344
rice,Punjab,7,11,kharif,120,26,639,3763
rice,Tamil Nadu,6,10,kharif,120,23,465,3016
rice,Tamil Nadu,7,11,kharif,120,16,643,2583
rice,Telangana,6,10,kharif,120,25,363,5788
rice,Telangana,7,11,kharif,120,31,371,5860
rice,Uttar Pradesh,6,10,kharif,120,32,777,3343
rice,Uttar Pradesh,7,11,kharif,120,32,665,5566
rice,West Bengal,6,10,kharif,120,20,331,4058
rice,West Bengal,7,11,kharif,120,27,516,4848
rice,Jharkhand,6,10,kharif,120,20,724,3415
rice,Jharkhand,7,11,kharif,120,25,513,5762
rice,Himachal Pradesh,6,10,kharif,120,23,700,4635
rice,Himachal Pradesh,7,11,kharif,120,28,459,5534
rice,Uttarakhand,6,10,kharif,120,30,609,3109
rice,Uttarakhand,7,11,kharif,120,34,460,2713
rice,Goa,6,10,kharif,120,22,715,2241
rice,Goa,7,11,kharif,120,15,301,4272
rice,Manipur,6,10,kharif,120,15,532,3949
rice,Manipur,7,11,kharif,120,15,376,4163
rice,Meghalaya,6,10,kharif,120,21,493,5237
rice,Meghalaya,7,11,kharif,120,21,389,3709
rice,Mizoram,6,10,kharif,120,32,442,5041
rice,Mizoram,7,11,kharif,120,24,674,2427
rice,Nagaland,6,10,kharif,120,31,659,3994
rice,Nagaland,7,11,kharif,120,17,422,3925
rice,Sikkim,6,10,kharif,120,23,561,5144
rice,Sikkim,7,11,kharif,120,21,522,3439
rice,Tripura,6,10,kharif,120,23,669,2715
rice,Tripura,7,11,kharif,120,22,627,3713
rice,Arunachal Pradesh,6,10,kharif,120,34,617,2110
rice,Arunachal Pradesh,7,11,kharif,120,21,758,3107
rice,Delhi,6,10,kharif,120,30,687,5461
rice,Delhi,7,11,kharif,120,17,426,2808
wheat,Bihar,11,3,rabi,120,24,313,2970
wheat,Bihar,12,4,rabi,120,32,311,4134
wheat,Gujarat,11,3,rabi,120,26,696,3560
wheat,Gujarat,12,4,rabi,120,27,542,4169
wheat,Haryana,11,3,rabi,120,33,354,2749
wheat,Haryana,12,4,rabi,120,18,472,3927
wheat,Madhya Pradesh,11,3,rabi,120,33,599,5665
wheat,Madhya Pradesh,12,4,rabi,120,20,701,5794
wheat,Maharashtra,11,3,rabi,120,19,651,2311
wheat,Maharashtra,12,4,rabi,120,23,358,5714
wheat,Odisha,11,3,rabi,120,24,542,2034
wheat,Odisha,12,4,rabi,120,29,652,2902
wheat,Punjab,11,3,rabi,120,26,604,4909
wheat,Punjab,12,4,rabi,120,34,592,2515
wheat,Rajasthan,11,3,rabi,120,26,681,4579
wheat,Rajasthan,12,4,rabi,120,32,476,4994
wheat,Uttar Pradesh,11,3,rabi,120,23,719,3273
wheat,Uttar Pradesh,12,4,rabi,120,16,527,4625
wheat,West Bengal,11,3,rabi,120,29,717,4979
wheat,West Bengal,12,4,rabi,120,20,594,2754
wheat,Jharkhand,11,3,rabi,120,33,485,3269
wheat,Jharkhand,12,4,rabi,120,26,430,5308
wheat,Himachal Pradesh,11,3,rabi,120,32,339,4068
wheat,Himachal Pradesh,12,4,rabi,120,29,524,4914
wheat,Uttarakhand,11,3,rabi,120,22,399,4799
