crop,soil_type,nitrogen_kg_per_hectare,phosphorus_kg_per_hectare,potassium_kg_per_hectare,npk_ratio,primary_fertilizer,primary_fertilizer_kg_per_hectare,organic_manure,organic_manure_kg_per_hectare,secondary_nutrients,micronutrients,application_timing,total_cost_per_hectare,expected_yield_increase_percent,season,recommendation_source
rice,alluvial,120,60,40,120-60-40,MOP,66,Compost,10000,"S: 22, Ca: 110, Mg: 10","Zn: 7, Fe: 14, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,40175,38,both,Agricultural University Guidelines
rice,black_cotton,108,72,44,108-72-44,NPK 20-20-20,540,FYM,11000,"S: 10, Ca: 94, Mg: 15","Zn: 5, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,40952,22,kharif,Agricultural University Guidelines
rice,red_yellow,144,78,48,144-78-48,NPK 19-19-19,757,Vermicompost,13000,"S: 12, Ca: 97, Mg: 29","Zn: 6, Fe: 7, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,67300,29,rabi,Agricultural University Guidelines
rice,laterite,156,84,44,156-84-44,MOP,73,Compost,14000,"S: 24, Ca: 127, Mg: 28","Zn: 5, Fe: 10, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,61838,31,kharif,Agricultural University Guidelines
rice,desert,132,60,36,132-60-36,CAN,507,FYM,15000,"S: 11, Ca: 135, Mg: 28","Zn: 4, Fe: 13, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,43333,24,rabi,Agricultural University Guidelines
rice,mountain,144,66,40,144-66-40,NPK 19-19-19,757,Vermicompost,12000,"S: 20, Ca: 57, Mg: 16","Zn: 6, Fe: 7, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,54926,20,perennial,Agricultural University Guidelines
rice,coastal,132,60,52,132-60-52,CAN,507,FYM,12000,"S: 22, Ca: 109, Mg: 23","Zn: 3, Fe: 9, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,52999,23,perennial,Agricultural University Guidelines
rice,hill,132,66,40,132-66-40,NPK 20-20-20,660,FYM,12000,"S: 22, Ca: 80, Mg: 16","Zn: 3, Fe: 12, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,64134,30,kharif,Agricultural University Guidelines
rice,forest,120,72,40,120-72-40,SSP,450,Compost,8000,"S: 15, Ca: 56, Mg: 27","Zn: 6, Fe: 5, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,40042,23,kharif,Agricultural University Guidelines
wheat,alluvial,120,60,40,120-60-40,NPK 20-20-20,600,FYM,8000,"S: 18, Ca: 83, Mg: 19","Zn: 3, Fe: 8, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,40114,33,rabi,Agricultural University Guidelines
wheat,black_cotton,108,72,44,108-72-44,CAN,415,FYM,8000,"S: 23, Ca: 57, Mg: 23","Zn: 3, Fe: 13, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,42009,37,kharif,Agricultural University Guidelines
wheat,red_yellow,144,78,48,144-78-48,MOP,80,FYM,10000,"S: 22, Ca: 54, Mg: 23","Zn: 5, Fe: 6, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,24127,33,perennial,Agricultural University Guidelines
