State,District,Year,Crop,Area_Hectare,Production_Tonnes,Yield_Tonnes_per_Hectare,primary_soil_type,secondary_soil_type,ph_level,organic_matter_percent,nitrogen_level,phosphorus_level,potassium_level,water_holding_capacity_percent,drainage,erosion_risk,salinity_level,texture,depth_cm,elevation_meters,slope_percent,cation_exchange_capacity,bulk_density,infiltration_rate_mm_per_hour,available_water_capacity_mm,micronutrient_status,soil_temperature_celsius,major_constraints,land_use_pattern,irrigation_potential,groundwater_depth_meters,total_annual_rainfall,kharif_rainfall,rabi_rainfall,summer_rainfall,avg_annual_soil_moisture,avg_kharif_moisture,avg_rabi_moisture,avg_summer_moisture
andaman_and_nicobar_islands,nicobar,2000,banana,176.0,641.0,3.64,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2000,cashewnut,720.0,165.0,0.23,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2000,ginger,36.0,100.0,2.78,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2000,sugarcane,1.0,2.0,2.0,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2000,sweet_potato,5.0,15.0,3.0,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2000,tapioca,40.0,169.0,4.23,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2001,cashewnut,719.0,192.0,0.27,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2001,ginger,46.0,100.0,2.17,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2001,sugarcane,1.0,1.0,1.0,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2001,sweet_potato,11.0,33.0,3.0,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2002,arecanut,1258.0,2083.0,1.66,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2002,banana,213.0,1278.0,6.0,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2002,black_pepper,63.0,13.5,0.21,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2002,cashewnut,719.0,208.0,0.29,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2002,dry_chillies,413.0,28.8,0.07,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
andaman_and_nicobar_islands,nicobar,2002,ginger,47.3,133.0,2.81,laterite,laterite,6.4,1.3,medium,medium,medium,32.4,good,low,moderately_saline,clay_loam,129.0,584.0,29.9,11.2,1.48,7.7,192.1,adequate,32.6,waterlogging,barren,medium,27.9,,,,,,,,
