State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Assam,Sivasagar,2020-01-19,2020,01,21.0110228,NRSC VIC MODEL
Assam,Sivasagar,2020-01-27,2020,01,15.997069,NRSC VIC MODEL
Assam,Sonitpur,2020-01-01,2020,01,11.9045822,NRSC VIC MODEL
Assam,Sonitpur,2020-01-07,2020,01,12.7180138,NRSC VIC MODEL
Assam,Sonitpur,2020-01-13,2020,01,12.7344055,NRSC VIC MODEL
Assam,Sonitpur,2020-01-15,2020,01,12.5224774,NRSC VIC MODEL
Assam,Sonitpur,2020-01-31,2020,01,16.454264,NRSC VIC MODEL
Assam,South Salmara Mancachar,2020-01-03,2020,01,7.6743581,NRSC VIC MODEL
Assam,South Salmara Mancachar,2020-01-06,2020,01,7.8522886,NRSC VIC MODEL
Assam,South Salmara Mancachar,2020-01-07,2020,01,5.8009644,NRSC VIC MODEL
Assam,South Salmara Mancachar,2020-01-11,2020,01,7.4675241,NRSC VIC MODEL
Assam,South Salmara Mancachar,2020-01-24,2020,01,6.3720823,NRSC VIC MODEL
Assam,South Salmara Mancachar,2020-01-31,2020,01,5.8579478,NRSC VIC MODEL
Assam,Tinsukia,2020-01-05,2020,01,19.1287341,NRSC VIC MODEL
Assam,Tinsukia,2020-01-10,2020,01,16.8354344,NRSC VIC MODEL
Assam,Tinsukia,2020-01-17,2020,01,15.5611553,NRSC VIC MODEL
Assam,Tinsukia,2020-01-18,2020,01,15.5386284,NRSC VIC MODEL
Assam,Tinsukia,2020-01-19,2020,01,17.3449525,NRSC VIC MODEL
Assam,Tinsukia,2020-01-24,2020,01,16.0840642,NRSC VIC MODEL
Assam,Tinsukia,2020-01-26,2020,01,15.7303532,NRSC VIC MODEL
Assam,Tinsukia,2020-01-29,2020,01,15.4833122,NRSC VIC MODEL
Assam,Udalguri,2020-01-01,2020,01,10.8644054,NRSC VIC MODEL
Assam,Udalguri,2020-01-20,2020,01,11.3886245,NRSC VIC MODEL
Assam,Udalguri,2020-01-23,2020,01,11.0756677,NRSC VIC MODEL
Assam,Udalguri,2020-01-30,2020,01,11.379054,NRSC VIC MODEL
Assam,West Karbi Anglong,2020-01-06,2020,01,23.3985647,NRSC VIC MODEL
Assam,West Karbi Anglong,2020-01-14,2020,01,21.3530189,NRSC VIC MODEL
Assam,West Karbi Anglong,2020-01-25,2020,01,21.2105905,NRSC VIC MODEL
Assam,West Karbi Anglong,2020-01-29,2020,01,20.5694135,NRSC VIC MODEL
Bihar,Araria,2020-01-10,2020,01,11.5936557,NRSC VIC MODEL
Bihar,Araria,2020-01-11,2020,01,11.4630645,NRSC VIC MODEL
Bihar,Araria,2020-01-25,2020,01,10.0804623,NRSC VIC MODEL
Bihar,Araria,2020-01-26,2020,01,10.0213882,NRSC VIC MODEL
Bihar,Arwal,2020-01-02,2020,01,11.9555077,NRSC VIC MODEL
