State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,Nicobars,2018-07-27,2018,7,1.173996877,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-07-28,2018,7,6.606796414,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-07-31,2018,7,0.039330451,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-08-08,2018,8,0.152286355,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-08-14,2018,8,9.573377056,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-08-18,2018,8,2.345134339,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-08-24,2018,8,3.430219579,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-08-26,2018,8,0.183955731,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-08-29,2018,8,10.39836339,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-08-31,2018,8,1.561132962,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-09-05,2018,9,0.046038388,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-09-11,2018,9,0.182013486,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-09-15,2018,9,23.45515594,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-09-24,2018,9,7.815897562,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-09-25,2018,9,2.865655863,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-09-27,2018,9,4.37533733,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-09-29,2018,9,1.68020334,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-05,2018,10,33.87864262,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-07,2018,10,38.63671002,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-08,2018,10,14.68029314,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-10,2018,10,11.10345209,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-15,2018,10,8.751250139,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-21,2018,10,8.333883378,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-23,2018,10,0.160037349,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-10-27,2018,10,0.056828635,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-11-03,2018,11,19.88629967,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-11-04,2018,11,48.94934489,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-11-07,2018,11,1.322560597,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-11-13,2018,11,36.86865608,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-11-17,2018,11,15.36182314,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-11-23,2018,11,6.054587531,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-11-29,2018,11,20.83956406,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-12-01,2018,12,4.394993563,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-12-12,2018,12,33.38565421,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-12-13,2018,12,32.91163865,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-12-14,2018,12,25.84025016,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-12-18,2018,12,81.72401934,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2018-12-29,2018,12,0.030212692,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-01-06,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-01-08,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-01-14,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-01-23,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-01-30,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-02-03,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-02-05,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-02-07,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-02-13,2020,2,0.0,NRSC VIC MODEL
